## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
85       465.          
125      638.          
165      670.          
205      626.          
245      552.          
315      445.          
89.      501.3         
115.     624.6         
128.     646.9         
156.     682.7         
187.     640.9         
229.     569.4         
259.     522.7         
289.     473.7         
337.     408.4         
409.     352.7         
482.     304.4         
567.     291.9         
696.     297.7         
855.     322.2         
42.      214           
45.      228           
46.5     232           
48.      238           
49.5     259           
54.      253           
65.      329           
0        55            
50       152           
100      210.083       
150      207.441       
200      162.631       
250      136.187       
300      124.318       
350      116.88        
400      114.416       
450      116.437       
500      121.378       
550      126.415       
600      130.036       
650      134.452       
700      141.776       
750      150.228       
800      157.659       
850      161.542       
900      163.356       
950      164.065       
1000     165.844       
